DB;VDBC;;VDBC M1;;;;;;;;;;VDBC M2;;VDBC M3;;VDBC M4;;VDBC M5;
;;;1NN;;2NN;;3NN;;4NN;;5NN;;;;;;;;;
;0.7498;0.0221;0.8356;0.0198;0.7039;0.0238;0.7081;0.0317;0.7419;0.0345;0.7494;0.0302;0.8295;0.0089;0.7443;0.0426;0.7662;0.0183;;
;Number of Prototypes;;;;;;;;;;;;;;;;;;;
;2694;14.5842;2652;17.3551;2918;5.7271;2932;63.8216;2914;21.1021;2945;41.0707;26224;272.633;5571;23.3838;2058;9.094;;
;;;;;;;;;;;;;;;;;;;;
Post Operative;MAUC;;;;;;;;;;;;;;;;;;;
;0.6291;0.098;0.535;0.0251;0.6678;0.1366;0.617;0.0549;0.6134;0.0819;0.6729;0.1028;0.6851;0.0308;0.6488;0.1174;0.6297;0.0541;0.6056;0.0567
;Number of Prototypes;;;;;;;;;;;;;;;;;;;
;47;2.0494;38;1.3038;56;4.219;51;3.5355;62;8.0808;70;2.8284;140;6.38;76;1.8708;35;2.5884;41;5.6569
;;;;;;;;;;;;;;;;;;;;
Satimage;MAUC;;;;;;;;;;;;;;;;;;;
;0.947;0.0058;0.881;0.0074;0.757;0.0149;0.8869;0.0045;0.9219;0.008;0.9367;0.0073;;;0.9476;0.0041;0.9469;0.0087;0.9017;0.0106
;Number of Prototypes;;;;;;;;;;;;;;;;;;;
;2625;11.4018;2432;9.1542;3449;12.2963;3539;23.1452;3693;65.0285;3753;36.6333;;;2630;13.7004;2092;19.1494;576;23.2809
;;;;;;;;;;;;;;;;;;;;
Shuttle;MAUC;;;;;;;;;;;;;;;;;;;
;0.8794;0.0286;0.8524;0.0226;0.7856;0.0256;0.7581;0.0167;0.7693;0.027;0.7252;0.0331;;;0.9332;0.0435;0.9408;0.0635;0.88;0.0673
;Number of Prototypes;;;;;;;;;;;;;;;;;;;
;26011;36.7655;30763;49.5853;28668;84.091;31435;72.5899;31676;61.6157;31817;135.95;;;27915;54.0805;20756;24.966;151;5.2726
;;;;;;;;;;;;;;;;;;;;
Soybean;MAUC;;;;;;;;;;;;;;;;;;;
;0.9676;0.0146;0.7932;0.0234;0.8156;0.039;0.9131;0.0135;0.9485;0.0108;0.9644;0.014;0.957;0.0127;0.9643;0.013;0.9679;0.0134;;
;Number of Prototypes;;;;;;;;;;;;;;;;;;;
;270;5.3572;274;3.3615;342;7.0214;361;9.7826;359;9.8843;362;13.2853;864;14.2127;267;7.2595;231;6.7823;;
;;;;;;;;;;;;;;;;;;;;
Thyroid;MAUC;;;;;;;;;;;;;;;;;;;
;0.774;0.0185;0.5511;0.0164;0.5869;0.0175;0.6932;0.0179;0.7349;0.023;0.7463;0.0242;;;0.7653;0.037;0.7643;0.019;;
;Number of Prototypes;;;;;;;;;;;;;;;;;;;
;3610;9.1542;3532;14.4049;3817;26.1285;3923;36.1981;3858;49.953;3917;22.5942;;;7398;33.3047;2811;16.3799;;
;;;;;;;;;;;;;;;;;;;;
Wine;MAUC;;;;;;;;;;;;;;;;;;;
;0.8035;0.0675;0.8783;0.0451;0.6818;0.0715;0.848;0.0352;0.8325;0.0644;0.8106;0.0731;0.7801;0.0289;0.8015;0.04;0.8431;0.0469;0.7561;0.0655
;Number of Prototypes;;;;;;;;;;;;;;;;;;;
